year,month,state_code,deaths
1997,9,TAS,1
1997,9,VIC,26
1997,9,WA,14
1997,10,ACT,2
1997,10,NSW,47
1997,10,NT,5
1997,10,QLD,27
1997,10,SA,15
1997,10,TAS,4
1997,10,VIC,29
1997,10,WA,20
1997,11,ACT,2
1997,11,NSW,62
1997,11,NT,2
1997,11,QLD,19
1997,11,SA,15
1997,11,VIC,39
1997,11,WA,22
1997,12,ACT,4
1997,12,NSW,42
1997,12,NT,11
1997,12,QLD,37
1997,12,SA,17
1997,12,TAS,3
1997,12,VIC,35
1997,12,WA,10
1998,1,ACT,1
1998,1,NSW,47
1998,1,NT,4
1998,1,QLD,20
1998,1,SA,11
1998,1,TAS,4
1998,1,VIC,29
1998,1,WA,17
1998,2,ACT,3
1998,2,NSW,39
1998,2,NT,8
1998,2,QLD,17
1998,2,SA,27
1998,2,TAS,3
1998,2,VIC,29
1998,2,WA,12
1998,3,ACT,3
1998,3,NSW,61
1998,3,NT,1
1998,3,QLD,21
1998,3,SA,16
1998,3,TAS,7
1998,3,VIC,32
1998,3,WA,15
1998,4,NSW,43
1998,4,NT,8
1998,4,QLD,19
1998,4,SA,16
1998,4,TAS,5
1998,4,VIC,36
1998,4,WA,22
1998,5,ACT,2
1998,5,NSW,58
1998,5,NT,6
1998,5,QLD,14
1998,5,SA,12
1998,5,TAS,5
1998,5,VIC,31
1998,5,WA,20
1998,6,NSW,51
1998,6,NT,4
1998,6,QLD,25
1998,6,SA,16
1998,6,TAS,1
1998,6,VIC,22
1998,6,WA,15
1998,7,ACT,4
1998,7,NSW,36
1998,7,NT,10
1998,7,QLD,33
1998,7,SA,10
1998,7,TAS,2
1998,7,VIC,40
1998,7,WA,21
1998,8,ACT,1
1998,8,NSW,51
1998,8,NT,11
1998,8,QLD,25
1998,8,SA,10
1998,8,TAS,5
1998,8,VIC,19
1998,8,WA,17
1998,9,ACT,3
1998,9,NSW,37
1998,9,NT,6
1998,9,QLD,24
1998,9,SA,13
1998,9,TAS,1
1998,9,VIC,37
1998,9,WA,21
1998,10,ACT,2
1998,10,NSW,47
1998,10,NT,5
1998,10,QLD,20
1998,10,SA,16
1998,10,TAS,2
1998,10,VIC,36
1998,10,WA,22
1998,11,NSW,31
1998,11,NT,3
1998,11,QLD,33
1998,11,SA,10
1998,11,TAS,6
1998,11,VIC,49
1998,11,WA,21
1998,12,ACT,3
1998,12,NSW,55
1998,12,NT,3
1998,12,QLD,28
1998,12,SA,11
1998,12,TAS,7
1998,12,VIC,30
1998,12,WA,20
1999,1,ACT,1
1999,1,NSW,52
1999,1,NT,2
1999,1,QLD,25
1999,1,SA,20
1999,1,TAS,6
1999,1,VIC,32
1999,1,WA,15
1999,2,ACT,3
1999,2,NSW,41
1999,2,NT,6
1999,2,QLD,12
1999,2,SA,12
1999,2,TAS,3
1999,2,VIC,31
1999,2,WA,18
