year,state_code,speed_band,crashes,deaths
2002,TAS,60,7,7
2002,TAS,70–80,8,8
2002,TAS,≤50,1,1
2002,VIC,100,161,181
2002,VIC,110+,10,10
2002,VIC,60,74,83
2002,VIC,70–80,82,88
2002,VIC,90,6,7
2002,VIC,≤50,28,28
2002,WA,100,3,3
2002,WA,110+,66,80
2002,WA,60,28,30
2002,WA,70–80,35,37
2002,WA,90,11,12
2002,WA,≤50,16,17
2003,ACT,≤50,10,11
2003,NSW,100,162,190
2003,NSW,110+,20,24
2003,NSW,60,129,134
2003,NSW,70–80,85,96
2003,NSW,90,16,17
2003,NSW,≤50,71,78
2003,NT,100,2,2
2003,NT,110+,1,1
2003,NT,60,3,3
2003,NT,70–80,9,9
2003,NT,≤50,29,38
2003,QLD,100,114,131
2003,QLD,110+,4,5
2003,QLD,60,75,78
2003,QLD,70–80,66,70
2003,QLD,90,4,4
2003,QLD,≤50,21,22
2003,SA,100,38,45
2003,SA,110+,36,43
2003,SA,60,29,31
2003,SA,70–80,23,26
2003,SA,90,3,5
2003,SA,≤50,7,7
2003,TAS,100,20,20
2003,TAS,110+,4,4
2003,TAS,60,5,5
2003,TAS,70–80,7,8
2003,TAS,90,1,2
2003,TAS,≤50,2,2
2003,VIC,100,137,158
2003,VIC,110+,11,12
2003,VIC,60,50,53
2003,VIC,70–80,68,76
2003,VIC,90,2,2
2003,VIC,≤50,26,29
2003,WA,100,11,13
2003,WA,110+,58,72
2003,WA,60,25,26
2003,WA,70–80,29,34
2003,WA,90,10,11
2003,WA,≤50,22,24
2004,ACT,≤50,9,9
2004,NSW,100,152,180
2004,NSW,110+,30,31
2004,NSW,60,78,82
2004,NSW,70–80,98,102
2004,NSW,90,21,28
2004,NSW,≤50,79,87
2004,NT,100,2,2
2004,NT,60,4,4
2004,NT,70–80,9,9
2004,NT,≤50,19,20
2004,QLD,100,111,129
2004,QLD,110+,10,10
2004,QLD,60,90,92
2004,QLD,70–80,51,52
2004,QLD,≤50,27,28
2004,SA,100,32,35
2004,SA,110+,23,28
2004,SA,60,41,42
2004,SA,70–80,22,23
2004,SA,90,2,2
2004,SA,≤50,8,9
2004,TAS,100,29,31
2004,TAS,110+,4,5
2004,TAS,60,8,8
2004,TAS,70–80,7,9
2004,TAS,≤50,4,5
2004,VIC,100,154,174
2004,VIC,110+,7,9
2004,VIC,60,64,67
2004,VIC,70–80,56,59
2004,VIC,90,5,5
2004,VIC,≤50,26,29
2004,WA,100,5,5
2004,WA,110+,61,67
2004,WA,60,26,27
2004,WA,70–80,33,38
2004,WA,90,7,10
2004,WA,≤50,30,31
2005,ACT,≤50,25,26
2005,NSW,100,153,178
2005,NSW,110+,31,37
2005,NSW,60,98,104
2005,NSW,70–80,87,93
2005,NSW,90,17,22
2005,NSW,≤50,73,74
2005,NT,100,8,9
2005,NT,110+,1,2
2005,NT,60,7,7
2005,NT,70–80,7,8
2005,NT,≤50,28,29
2005,QLD,100,149,170
2005,QLD,110+,7,7
2005,QLD,60,70,74
2005,QLD,70–80,47,55
2005,QLD,90,1,1
2005,QLD,≤50,22,23
2005,SA,100,33,41
2005,SA,110+,29,37
2005,SA,60,41,44
2005,SA,70–80,11,12
2005,SA,90,5,5
2005,SA,≤50,8,9
2005,TAS,100,23,24
2005,TAS,110+,5,6
2005,TAS,60,4,4
2005,TAS,70–80,12,12
2005,TAS,≤50,5,5
2005,VIC,100,128,150
2005,VIC,110+,12,13
2005,VIC,60,49,50
2005,VIC,70–80,73,79
2005,VIC,90,10,12
2005,VIC,≤50,42,42
2005,WA,100,7,9
2005,WA,110+,59,64
2005,WA,60,21,21
2005,WA,70–80,31,32
2005,WA,90,11,13
2005,WA,≤50,22,24
2006,ACT,≤50,12,13
2006,NSW,100,148,164
2006,NSW,110+,41,50
2006,NSW,60,71,73
2006,NSW,70–80,94,107
2006,NSW,90,23,26
2006,NSW,≤50,72,76
2006,NT,100,6,6
2006,NT,110+,2,2
2006,NT,60,5,5
2006,NT,70–80,9,11
2006,NT,≤50,19,21
2006,QLD,100,117,129
2006,QLD,110+,13,13
2006,QLD,60,94,99
2006,QLD,70–80,54,57
2006,QLD,90,2,2
2006,QLD,≤50,33,35
2006,SA,100,34,39
2006,SA,110+,11,15
2006,SA,60,26,28
2006,SA,70–80,21,23
2006,SA,90,2,2
2006,SA,≤50,10,10
2006,TAS,100,21,28
2006,TAS,110+,7,11
2006,TAS,60,7,7
2006,TAS,70–80,5,6
2006,TAS,≤50,3,3
2006,VIC,100,140,161
2006,VIC,110+,13,14
2006,VIC,60,63,63
2006,VIC,70–80,62,65
2006,VIC,90,5,6
2006,VIC,Other,1,1
2006,VIC,≤50,25,27
2006,WA,100,8,10
2006,WA,110+,61,71
2006,WA,60,31,31
2006,WA,70–80,38,41
2006,WA,90,13,15
2006,WA,≤50,30,32
2007,ACT,≤50,14,14
2007,NSW,100,135,152
2007,NSW,110+,25,26
2007,NSW,60,77,84
2007,NSW,70–80,83,84
2007,NSW,90,9,11
2007,NSW,≤50,76,78
2007,NT,100,5,6
2007,NT,110+,22,31
2007,NT,60,5,5
2007,NT,70–80,6,7
2007,NT,90,1,1
2007,NT,≤50,8,8
2007,QLD,100,132,147
2007,QLD,110+,13,15
2007,QLD,60,81,82
2007,QLD,70–80,71,74
2007,QLD,90,5,6
2007,QLD,≤50,36,36
2007,SA,100,39,49
2007,SA,110+,22,26
2007,SA,60,22,22
2007,SA,70–80,9,12
2007,SA,90,2,2
2007,SA,≤50,13,13
2007,TAS,100,18,20
2007,TAS,110+,11,12
2007,TAS,60,3,5
2007,TAS,70–80,5,6
2007,TAS,≤50,2,2
2007,VIC,100,141,172
2007,VIC,110+,9,11
2007,VIC,60,51,55
2007,VIC,70–80,63,69
2007,VIC,90,5,5
2007,VIC,≤50,20,20
2007,WA,100,14,17
2007,WA,110+,80,89
2007,WA,60,30,32
2007,WA,70–80,43,47
2007,WA,90,11,11
2007,WA,≤50,36,39
2008,ACT,60,6,6
2008,ACT,70–80,3,3
2008,ACT,≤50,5,5
2008,NSW,100,114,120
2008,NSW,110+,22,25
2008,NSW,60,63,66
2008,NSW,70–80,84,90
2008,NSW,90,8,9
2008,NSW,≤50,62,64
2008,NT,100,11,12
2008,NT,110+,19,24
2008,NT,60,12,14
2008,NT,70–80,15,15
2008,NT,≤50,10,10
2008,QLD,100,121,143
2008,QLD,110+,5,5
2008,QLD,60,87,93
2008,QLD,70–80,54,59
2008,QLD,90,3,3
2008,QLD,≤50,24,25
2008,SA,100,27,30
2008,SA,110+,16,19
2008,SA,60,19,22
2008,SA,70–80,17,20
2008,SA,90,2,2
2008,SA,≤50,6,6
2008,TAS,100,15,15
2008,TAS,110+,8,9
2008,TAS,60,3,3
2008,TAS,70–80,5,6
2008,TAS,90,1,1
2008,TAS,≤50,5,5
2008,VIC,100,116,128
2008,VIC,110+,8,11
2008,VIC,60,56,60
2008,VIC,70–80,68,71
2008,VIC,90,3,3
2008,VIC,≤50,27,30
2008,WA,100,14,19
2008,WA,110+,65,76
2008,WA,60,21,21
2008,WA,70–80,44,47
2008,WA,90,12,13
2008,WA,≤50,29,29
2009,ACT,100,1,1
2009,ACT,60,2,3
2009,ACT,70–80,6,6
2009,ACT,90,1,1
2009,ACT,≤50,1,1
2009,NSW,100,144,167
2009,NSW,110+,34,45
2009,NSW,60,74,76
2009,NSW,70–80,78,84
2009,NSW,90,12,13
2009,NSW,≤50,67,69
2009,NT,100,4,4
2009,NT,110+,15,15
2009,NT,60,3,3
2009,NT,70–80,8,8
2009,NT,90,1,1
2009,QLD,100,106,121
2009,QLD,110+,16,20
2009,QLD,60,70,74
2009,QLD,70–80,60,71
2009,QLD,90,8,8
2009,QLD,≤50,36,37
2009,SA,100,21,22
2009,SA,110+,30,36
2009,SA,60,19,22
2009,SA,70–80,22,25
2009,SA,90,1,2
2009,SA,≤50,11,12
2009,TAS,100,27,29
2009,TAS,110+,7,12
2009,TAS,60,6,6
2009,TAS,70–80,6,8
2009,TAS,90,1,1
2009,TAS,≤50,5,7
2009,VIC,100,124,142
2009,VIC,110+,7,7
2009,VIC,60,47,47
2009,VIC,70–80,56,60
2009,VIC,90,3,3
2009,VIC,≤50,31,31
2009,WA,100,12,14
2009,WA,110+,71,79
2009,WA,60,21,22
2009,WA,70–80,37,41
2009,WA,90,7,7
2009,WA,≤50,28,28
2010,ACT,100,2,2
2010,ACT,60,6,6
2010,ACT,70–80,5,8
2010,ACT,≤50,3,3
2010,NSW,100,146,167
2010,NSW,110+,13,13
2010,NSW,60,66,67
2010,NSW,70–80,78,93
2010,NSW,90,18,20
2010,NSW,≤50,44,45
2010,NT,100,6,7
2010,NT,110+,18,20
2010,NT,60,7,8
2010,NT,70–80,13,13
2010,NT,90,1,1
2010,NT,≤50,1,1
2010,QLD,100,98,108
2010,QLD,110+,13,13
2010,QLD,60,52,54
2010,QLD,70–80,47,48
2010,QLD,90,4,4
2010,QLD,≤50,22,22
2010,SA,100,26,33
2010,SA,110+,26,30
2010,SA,60,27,28
2010,SA,70–80,16,17
2010,SA,90,1,1
2010,SA,≤50,9,9
2010,TAS,100,14,14
2010,TAS,110+,3,4
2010,TAS,60,1,1
2010,TAS,70–80,7,8
2010,TAS,90,1,1
2010,TAS,≤50,3,3
2010,VIC,100,119,134
2010,VIC,110+,11,11
2010,VIC,60,45,48
2010,VIC,70–80,55,64
2010,VIC,90,2,2
2010,VIC,≤50,28,29
2010,WA,100,14,16
2010,WA,110+,79,89
2010,WA,60,32,33
2010,WA,70–80,25,27
2010,WA,90,10,12
2010,WA,≤50,16,16
2011,ACT,100,2,2
2011,ACT,70–80,2,2
2011,ACT,≤50,2,2
2011,NSW,100,134,150
